Slice,PSNR_dB,SSIM,Noise_STD,Area_Pulmones,Area_Corazon,Area_Huesos,Tiempo_ms
203,0,0,0,53184,1313,17406,620
210,0,0,0,61776,0,5194,45240
207,0,0,0,61488,0,12520,28689
210,0,0,0,61600,0,5584,30099
210,0,0,0,61600,0,5584,287091
210,0,0,0,61600,0,5584,2671131
195,0,0,0,19811,0,0,29765
195,0,0,0,20786,0,0,19028
195,0,0,0,20786,0,0,73755
195,0,0,0,20786,0,0,310979
210,0,0,0,61776,0,0,45134
195,0,0,0,20786,0,0,83159
195,0,0,0,103269,0,0,98681
195,0,0,0,158875,0,0,18036
195,0,0,0,158875,0,0,977275
210,0,0,0,194564,0,0,15765
195,0,0,0,56420,0,0,163486
187,0,0,0,11961,0,0,44940
206,0,0,0,64784,0,0,29188
190,0,0,0,16464,0,0,26363
200,0,0,0,49882,0,0,21937
200,0,0,0,22876,0,0,20866
195,0,0,0,0,0,3842,56485
210,0,0,0,0,0,8890,268096
0,0,0,0,0,0,2935,79479
171,0,0,0,0,0,5182,59468
138,0,0,0,0,0,1451,38904
195,0,0,0,0,0,3027,92965
195,0,0,0,0,0,2929,46580
210,0,0,0,0,0,7002,46887
195,0,0,0,0,0,3281,21233
195,0,0,0,0,0,3747,44653
210,0,0,0,0,0,2162,73661
108,0,0,0,0,0,3163,81514
195,0,0,0,0,0,3027,7908
195,0,0,0,30894,0,3329,72133
195,0,0,0,0,0,5005,19295
205,0,0,0,0,0,2936,36023
202,0,0,0,56225,0,3390,27659
195,0,0,0,30894,0,0,0,11974
201,0,0,0,55098,0,0,3219,32890
205,0,0,0,62913,0,0,2936,27613
195,0,0,0,30894,0,0,0,18945
210,0,0,0,64910,2241,23023,1010,44127
204,0,0,0,0,0,0,7168,59432
